,Estimate,CI95_lower,CI95_upper,Description
σr,6.203,5.094,7.384,SD of per-indivudal random effect
σe,4.601,4.057,5.123,SD of residuals
β0,22.1,19.83,24.38,Overall mean
βa2,-3.283,-5.306,-1.258,Fixed effect for 8-week time point
βa3,-5.492,-7.516,-3.469,Fixed effect for 12-week time point
β(site),2.921,-0.04991,5.885,Fixed effect for site 2 vs site 1
β2,0.339,-2.413,3.092,Fixed effect for treatment at 8-week time point
β3,-0.0629,-2.814,2.692,Fixed effect for treatment at 12-week time point
