,Estimate,CI95_lower,CI95_upper,Description
σr,1.082,0.9026,1.276,SD of per-indivudal random effect
σe,0.5919,0.5198,0.6608,SD of residuals
β0,2.285,1.913,2.657,Overall mean
βa2,0.01107,-0.2576,0.2789,Fixed effect for 8-week time point
βa3,-0.1428,-0.4116,0.1251,Fixed effect for 12-week time point
β(site),0.2471,-0.2498,0.7446,Fixed effect for site 2 vs site 1
β2,0.01347,-0.3584,0.3854,Fixed effect for treatment at 8-week time point
β3,0.1923,-0.1818,0.5669,Fixed effect for treatment at 12-week time point
