,Estimate,CI95_lower,CI95_upper,Description
σr,7.308,5.919,8.766,SD of per-indivudal random effect
σe,6.321,5.589,7.025,SD of residuals
β0,28.64,25.84,31.45,Overall mean
βa2,-6.393,-9.105,-3.673,Fixed effect for 8-week time point
βa3,-7.278,-9.991,-4.56,Fixed effect for 12-week time point
β(site),1.748,-1.847,5.337,Fixed effect for site 2 vs site 1
β2,1.631,-2.002,5.256,Fixed effect for treatment at 8-week time point
β3,-0.05288,-3.707,3.594,Fixed effect for treatment at 12-week time point
