,psyrats_voices_total,psyrats_hdis,psyrats_delusions_total,hpsvq_total,hpsvq_negative,dass21_total,dass21_stress,dass21_anxiety,dass21_depression,eq5d_mobility,eq5d_self_care,eq5d_usual_activities,eq5d_pain_discomfort,eq5d_anxiety_depression,eq5d_health_today_vas,qpr_total,choice_short_total,sf36_pcs,sf36_mcs
psyrats_voices_total,1,0.878254274165885,0.48455651196289,0.827003612578136,0.793628972588671,0.472801865208207,0.438289359771489,0.38883427806622,0.475040841416453,0.201583849009924,0.133579446017447,0.425800172029638,0.238579325758571,0.230030376856203,-0.197834186665535,-0.43156925924297,0.402818587811505,-0.087111732352958,-0.451290677757877
psyrats_hdis,0.878254274165885,1,0.464835345539947,0.78803039676632,0.769648203878548,0.529973929048479,0.506800762111709,0.364921941745509,0.556575322304614,0.0338159908552217,0.0340954998389981,0.310788737852625,0.16853046908477,0.305193425397223,-0.226297139580767,-0.401173345515381,0.42892422324819,0.0500819991352583,-0.488086499158653
psyrats_delusions_total,0.48455651196289,0.464835345539947,1,0.500113679284401,0.448639855278515,0.557223315767849,0.565984781925463,0.484544613651643,0.420154727612777,0.174735177517185,0.0674791425216615,0.347640260759334,0.211351119754342,0.29246293450901,-0.25692893204844,-0.423914521057518,0.448662452499722,-0.150776040895188,-0.476862685553125
hpsvq_total,0.827003612578136,0.78803039676632,0.500113679284401,1,0.93518522227499,0.622292487776129,0.557164959602956,0.547306610887021,0.583267626678236,0.161757304281569,0.100440911360619,0.380675809776556,0.23592993349989,0.36531830447362,-0.249837101746703,-0.453459214420304,0.464546339586228,-0.111865900274795,-0.478251960034534
hpsvq_negative,0.793628972588671,0.769648203878548,0.448639855278515,0.93518522227499,1,0.644281782160309,0.560257983351988,0.555993939272499,0.633468057793439,0.220250691883288,0.146786393527526,0.372608793413374,0.28152778049776,0.350699397597312,-0.237253809098279,-0.441940060208305,0.466349919662197,-0.174600145765434,-0.527912189183162
dass21_total,0.472801865208207,0.529973929048479,0.557223315767849,0.622292487776129,0.644281782160309,1,0.923433316486519,0.882808999190825,0.876272446618476,0.169639570414042,0.116736030205019,0.447892624344056,0.358246963385223,0.443677929956918,-0.386935438264633,-0.485401297844279,0.506651292771094,-0.288863005558018,-0.690631855928054
dass21_stress,0.438289359771489,0.506800762111709,0.565984781925463,0.557164959602956,0.560257983351988,0.923433316486519,1,0.770556262542499,0.707656811588063,0.120915346386145,0.0779358347702031,0.36891920109964,0.29326085852944,0.364892585786351,-0.337246403257582,-0.410108579148111,0.468894577911815,-0.222108182546068,-0.640686969886427
dass21_anxiety,0.38883427806622,0.364921941745509,0.484544613651643,0.547306610887021,0.555993939272499,0.882808999190825,0.770556262542499,1,0.646478765516968,0.272514623174153,0.109153522199424,0.363151559016519,0.440582905550389,0.299220719072875,-0.264548567715993,-0.356634748895279,0.404030402791939,-0.398311810512744,-0.512239825486472
dass21_depression,0.475040841416453,0.556575322304614,0.420154727612777,0.583267626678236,0.633468057793439,0.876272446618476,0.707656811588063,0.646478765516968,1,0.0731157939909097,0.140352056989374,0.430208982616105,0.255832111066691,0.51928395481194,-0.432134822357093,-0.529617422979691,0.506006788845521,-0.157715747713872,-0.716716691218058
eq5d_mobility,0.201583849009924,0.0338159908552217,0.174735177517185,0.161757304281569,0.220250691883288,0.169639570414042,0.120915346386145,0.272514623174153,0.0731157939909097,1,0.53735974589195,0.499051844469361,0.6555608555683,0.143960962736943,-0.384886701700421,-0.285128789448211,0.173206432218991,-0.808902879940245,-0.0256894606575799
